OBJECTID,GEOL_CODE_INT,GEOL_CODE,GERMAN,TREE_LEVEL,PARENT_REF
1,15001001,Vchr401001,Phanerozoikum,1,0.0
3,15001002,Vchr401002,Känozoikum,2,15001001.0
9,15001003,Vchr401003,Quartär,3,15001002.0
24,15001004,Vchr401004,Holozän,4,15001003.0
25,15001005,Vchr401005,Pleistozän,4,15001003.0
47,15001006,Vchr401006,Spätes Pleistozän,5,15001005.0
48,15001007,Vchr401007,Mittleres Pleistozän,5,15001005.0
49,15001009,Vchr401009,Frühes Pleistozän,5,15001005.0
63,15001010,Vchr401010,Calabrien,6,15001009.0
64,15001011,Vchr401011,Gélasien,6,15001009.0
6,15001012,Vchr401012,Tertiär,3,15001002.0
10,15001013,Vchr401013,Neogen,4,15001012.0
26,15001014,Vchr401014,Pliozän,5,15001013.0
65,15001015,Vchr401015,Plaisancien,6,15001014.0
66,15001016,Vchr401016,Zancléen,6,15001014.0
27,15001017,Vchr401017,Miozän,5,15001013.0
50,15001018,Vchr401018,Spätes Miozän,6,15001017.0
67,15001019,Vchr401019,Messinien,7,15001018.0
68,15001020,Vchr401020,Tortonien,7,15001018.0
51,15001021,Vchr401021,Mittleres Miozän,6,15001017.0
69,15001022,Vchr401022,Serravallien,7,15001021.0
70,15001023,Vchr401023,Langhien,7,15001021.0
52,15001024,Vchr401024,Frühes Miozän,6,15001017.0
71,15001025,Vchr401025,Burdigalien,7,15001024.0
120,15001026,Vchr401026,spätes Burdigalien,8,15001025.0
121,15001027,Vchr401027,frühes Burdigalien,8,15001025.0
72,15001028,Vchr401028,Aquitanien,7,15001024.0
11,15001029,Vchr401029,Paläogen,4,15001012.0
28,15001030,Vchr401030,Oligozän,5,15001029.0
73,15001031,Vchr401031,Chattien,6,15001030.0
122,15001032,Vchr401032,spätes Chattien,7,15001031.0
123,15001033,Vchr401033,frühes Chattien,7,15001031.0
74,15001034,Vchr401034,Rupélien,6,15001030.0
29,15001035,Vchr401035,Eozän,5,15001029.0
53,15001036,Vchr401036,Spätes Eozän,6,15001035.0
75,15001037,Vchr401037,Priabonien,7,15001036.0
124,15001038,Vchr401038,spätes Priabonien,8,15001037.0
125,15001039,Vchr401039,frühes Priabonien,8,15001037.0
54,15001040,Vchr401040,Mittleres Eozän,6,15001035.0
76,15001041,Vchr401041,Bartonien,7,15001040.0
77,15001042,Vchr401042,Lutétien,7,15001040.0
55,15001043,Vchr401043,Frühes Eozän,6,15001035.0
78,15001044,Vchr401044,Yprésien,7,15001043.0
30,15001045,Vchr401045,Paleozän,5,15001029.0
79,15001046,Vchr401046,Thanétien,6,15001045.0
80,15001047,Vchr401047,Sélandien,6,15001045.0
766,15001048,Vchr401048,Danien,7,15001045.0
4,15001049,Vchr401049,Mesozoikum,2,15001001.0
12,15001050,Vchr401050,Kreide,3,15001049.0
31,15001051,Vchr401051,Späte Kreide,4,15001050.0
81,15001052,Vchr401052,Maastrichtien,5,15001051.0
82,15001053,Vchr401053,Campanien,5,15001051.0
83,15001054,Vchr401054,Santonien,5,15001051.0
84,15001055,Vchr401055,Coniacien,5,15001051.0
85,15001056,Vchr401056,Turonien,5,15001051.0
86,15001057,Vchr401057,Cénomanien,5,15001051.0
32,15001058,Vchr401058,Frühe Kreide,4,15001050.0
87,15001059,Vchr401059,Albien,5,15001058.0
88,15001060,Vchr401060,Aptien,5,15001058.0
89,15001061,Vchr401061,Barrémien,5,15001058.0
90,15001062,Vchr401062,Hauterivien,5,15001058.0
91,15001063,Vchr401063,Valanginien,5,15001058.0
92,15001064,Vchr401064,Berriasien,5,15001058.0
13,15001065,Vchr401065,Jura,3,15001049.0
33,15001066,Vchr401066,Später Jura,4,15001065.0
93,15001067,Vchr401067,Tithonien,5,15001066.0
94,15001068,Vchr401068,Kimméridgien,5,15001066.0
95,15001069,Vchr401069,Oxfordien,5,15001066.0
34,15001070,Vchr401070,Mittlerer Jura,4,15001065.0
96,15001071,Vchr401071,Callovien,5,15001070.0
97,15001072,Vchr401072,Bathonien,5,15001070.0
98,15001073,Vchr401073,Bajocien,5,15001070.0
99,15001074,Vchr401074,Aalénien,5,15001070.0
35,15001075,Vchr401075,Früher Jura,4,15001065.0
100,15001076,Vchr401076,Toarcien,5,15001075.0
101,15001077,Vchr401077,Pliensbachien,5,15001075.0
102,15001078,Vchr401078,Sinémurien,5,15001075.0
103,15001079,Vchr401079,Hettangien,5,15001075.0
14,15001080,Vchr401080,Trias,3,15001049.0
36,15001081,Vchr401081,Späte Trias,4,15001080.0
104,15001082,Vchr401082,Rhät,5,15001081.0
105,15001083,Vchr401083,Norien,5,15001081.0
106,15001084,Vchr401084,Carnien,5,15001081.0
37,15001085,Vchr401085,Mittlere Trias,4,15001080.0
107,15001086,Vchr401086,Ladinien,5,15001085.0
108,15001087,Vchr401087,Anisien,5,15001085.0
38,15001088,Vchr401088,Frühe Trias,4,15001080.0
109,15001089,Vchr401089,Olénékien,5,15001088.0
110,15001090,Vchr401090,Indusien,5,15001088.0
5,15001091,Vchr401091,Paläozoikum,2,15001001.0
15,15001093,Vchr401093,Perm,4,15001091.0
39,15001095,Vchr401095,Lopingien,6,15001093.0
111,15001096,Vchr401096,Changhsingien,7,15001095.0
112,15001098,Vchr401098,Wuchiapingien,7,15001095.0
40,15001101,Vchr401101,Guadalupien,6,15001093.0
113,15001102,Vchr401102,Capitanien,7,15001101.0
114,15001106,Vchr401106,Wordien,7,15001101.0
115,15001108,Vchr401108,Roadien,7,15001101.0
41,15001110,Vchr401110,Cisuralien,6,15001093.0
116,15001111,Vchr401111,Kungurien,7,15001110.0
117,15001113,Vchr401113,Artinskien,7,15001110.0
118,15001115,Vchr401115,Sakmarien,7,15001110.0
119,15001117,Vchr401117,Asselien,7,15001110.0
16,15001119,Vchr401119,Karbon,4,15001091.0
42,15001120,Vchr401120,Pennsylvanien,5,15001119.0
56,15001121,Vchr401121,Spätes Pennsylvanien,6,15001120.0
57,15001122,Vchr401122,Mittleres Pennsylvanien,6,15001120.0
58,15001123,Vchr401123,Frühes Pennsylvanien,6,15001120.0
43,15001124,Vchr401124,Mississippien,5,15001119.0
59,15001125,Vchr401125,Spätes Mississippien,6,15001124.0
60,15001126,Vchr401126,Mittleres Mississippien,6,15001124.0
61,15001127,Vchr401127,Frühes Mississippien,6,15001124.0
17,15001128,Vchr401128,Devon,4,15001091.0
44,15001129,Vchr401129,Frühes Devon,5,15001128.0
45,15001130,Vchr401130,Mittleres Devon,5,15001128.0
46,15001131,Vchr401131,Spätes Devon,5,15001128.0
18,15001133,Vchr401133,Silur,4,15001091.0
19,15001134,Vchr401134,Ordovizium,4,15001091.0
20,15001135,Vchr401135,Kambrium,4,15001091.0
2,15001136,Vchr401136,Proterozoikum,2,15001152.0
126,15001137,Vchr401137,Gzhélien,8,15001121.0
127,15001138,Vchr401138,Kasimovien,8,15001121.0
128,15001139,Vchr401139,Moscovien,8,15001122.0
129,15001140,Vchr401140,Bashkirien,8,15001123.0
130,15001141,Vchr401141,Serpukhovien,8,15001125.0
131,15001142,Vchr401142,Viséen,8,15001126.0
132,15001143,Vchr401143,Tournaisien,8,15001127.0
133,15001144,Vchr401144,Pridoli,6,15001133.0
134,15001145,Vchr401145,Ludlow,6,15001133.0
135,15001146,Vchr401146,Wenlock,6,15001133.0
136,15001147,Vchr401147,Llandovery,6,15001133.0
137,15001148,Vchr401148,Spätes Ordovizium,6,15001134.0
138,15001149,Vchr401149,Mittleres Ordovizium,6,15001134.0
139,15001150,Vchr401150,Frühes Ordovizium,6,15001134.0
1088,15001151,Vchr401151,Chibanien,6,15001007.0
1086,15001152,Vchr401152,Präkambrium,1,0.0
1087,15001153,Vchr401153,Archaikum,2,15001152.0
