OBJECTID,GEOL_CODE_INT,PARENT_REF,GEOL_CODE,GERMAN,TREE_LEVEL
1,15001001,0.0,Vchr401001,Phanerozoikum,1
3,15001002,15001001.0,Vchr401002,Känozoikum,2
9,15001003,15001002.0,Vchr401003,Quartär,3
24,15001004,15001003.0,Vchr401004,Holozän,4
25,15001005,15001003.0,Vchr401005,Pleistozän,4
47,15001006,15001005.0,Vchr401006,Spätes Pleistozän,5
48,15001007,15001005.0,Vchr401007,Mittleres Pleistozän,5
49,15001009,15001005.0,Vchr401009,Frühes Pleistozän,5
63,15001010,15001009.0,Vchr401010,Calabrien,6
64,15001011,15001009.0,Vchr401011,Gélasien,6
6,15001012,15001002.0,Vchr401012,Tertiär,3
10,15001013,15001012.0,Vchr401013,Neogen,4
26,15001014,15001013.0,Vchr401014,Pliozän,5
65,15001015,15001014.0,Vchr401015,Plaisancien,6
66,15001016,15001014.0,Vchr401016,Zancléen,6
27,15001017,15001013.0,Vchr401017,Miozän,5
50,15001018,15001017.0,Vchr401018,Spätes Miozän,6
67,15001019,15001018.0,Vchr401019,Messinien,7
68,15001020,15001018.0,Vchr401020,Tortonien,7
51,15001021,15001017.0,Vchr401021,Mittleres Miozän,6
69,15001022,15001021.0,Vchr401022,Serravallien,7
70,15001023,15001021.0,Vchr401023,Langhien,7
52,15001024,15001017.0,Vchr401024,Frühes Miozän,6
71,15001025,15001024.0,Vchr401025,Burdigalien,7
120,15001026,15001025.0,Vchr401026,spätes Burdigalien,8
121,15001027,15001025.0,Vchr401027,frühes Burdigalien,8
72,15001028,15001024.0,Vchr401028,Aquitanien,7
11,15001029,15001012.0,Vchr401029,Paläogen,4
28,15001030,15001029.0,Vchr401030,Oligozän,5
73,15001031,15001030.0,Vchr401031,Chattien,6
122,15001032,15001031.0,Vchr401032,spätes Chattien,7
123,15001033,15001031.0,Vchr401033,frühes Chattien,7
74,15001034,15001030.0,Vchr401034,Rupélien,6
29,15001035,15001029.0,Vchr401035,Eozän,5
53,15001036,15001035.0,Vchr401036,Spätes Eozän,6
75,15001037,15001036.0,Vchr401037,Priabonien,7
124,15001038,15001037.0,Vchr401038,spätes Priabonien,8
125,15001039,15001037.0,Vchr401039,frühes Priabonien,8
54,15001040,15001035.0,Vchr401040,Mittleres Eozän,6
76,15001041,15001040.0,Vchr401041,Bartonien,7
77,15001042,15001040.0,Vchr401042,Lutétien,7
55,15001043,15001035.0,Vchr401043,Frühes Eozän,6
78,15001044,15001043.0,Vchr401044,Yprésien,7
30,15001045,15001029.0,Vchr401045,Paleozän,5
79,15001046,15001045.0,Vchr401046,Thanétien,6
80,15001047,15001045.0,Vchr401047,Sélandien,6
766,15001048,15001045.0,Vchr401048,Danien,7
4,15001049,15001001.0,Vchr401049,Mesozoikum,2
12,15001050,15001049.0,Vchr401050,Kreide,3
31,15001051,15001050.0,Vchr401051,Späte Kreide,4
81,15001052,15001051.0,Vchr401052,Maastrichtien,5
82,15001053,15001051.0,Vchr401053,Campanien,5
83,15001054,15001051.0,Vchr401054,Santonien,5
84,15001055,15001051.0,Vchr401055,Coniacien,5
85,15001056,15001051.0,Vchr401056,Turonien,5
86,15001057,15001051.0,Vchr401057,Cénomanien,5
32,15001058,15001050.0,Vchr401058,Frühe Kreide,4
87,15001059,15001058.0,Vchr401059,Albien,5
88,15001060,15001058.0,Vchr401060,Aptien,5
89,15001061,15001058.0,Vchr401061,Barrémien,5
90,15001062,15001058.0,Vchr401062,Hauterivien,5
91,15001063,15001058.0,Vchr401063,Valanginien,5
92,15001064,15001058.0,Vchr401064,Berriasien,5
13,15001065,15001049.0,Vchr401065,Jura,3
33,15001066,15001065.0,Vchr401066,Später Jura,4
93,15001067,15001066.0,Vchr401067,Tithonien,5
94,15001068,15001066.0,Vchr401068,Kimméridgien,5
95,15001069,15001066.0,Vchr401069,Oxfordien,5
34,15001070,15001065.0,Vchr401070,Mittlerer Jura,4
96,15001071,15001070.0,Vchr401071,Callovien,5
97,15001072,15001070.0,Vchr401072,Bathonien,5
98,15001073,15001070.0,Vchr401073,Bajocien,5
99,15001074,15001070.0,Vchr401074,Aalénien,5
35,15001075,15001065.0,Vchr401075,Früher Jura,4
100,15001076,15001075.0,Vchr401076,Toarcien,5
101,15001077,15001075.0,Vchr401077,Pliensbachien,5
102,15001078,15001075.0,Vchr401078,Sinémurien,5
103,15001079,15001075.0,Vchr401079,Hettangien,5
14,15001080,15001049.0,Vchr401080,Trias,3
36,15001081,15001080.0,Vchr401081,Späte Trias,4
104,15001082,15001081.0,Vchr401082,Rhät,5
105,15001083,15001081.0,Vchr401083,Norien,5
106,15001084,15001081.0,Vchr401084,Carnien,5
37,15001085,15001080.0,Vchr401085,Mittlere Trias,4
107,15001086,15001085.0,Vchr401086,Ladinien,5
108,15001087,15001085.0,Vchr401087,Anisien,5
38,15001088,15001080.0,Vchr401088,Frühe Trias,4
109,15001089,15001088.0,Vchr401089,Olénékien,5
110,15001090,15001088.0,Vchr401090,Indusien,5
5,15001091,15001001.0,Vchr401091,Paläozoikum,2
15,15001093,15001091.0,Vchr401093,Perm,4
39,15001095,15001093.0,Vchr401095,Lopingien,6
111,15001096,15001095.0,Vchr401096,Changhsingien,7
112,15001098,15001095.0,Vchr401098,Wuchiapingien,7
40,15001101,15001093.0,Vchr401101,Guadalupien,6
113,15001102,15001101.0,Vchr401102,Capitanien,7
114,15001106,15001101.0,Vchr401106,Wordien,7
115,15001108,15001101.0,Vchr401108,Roadien,7
41,15001110,15001093.0,Vchr401110,Cisuralien,6
116,15001111,15001110.0,Vchr401111,Kungurien,7
117,15001113,15001110.0,Vchr401113,Artinskien,7
118,15001115,15001110.0,Vchr401115,Sakmarien,7
119,15001117,15001110.0,Vchr401117,Asselien,7
16,15001119,15001091.0,Vchr401119,Karbon,4
42,15001120,15001119.0,Vchr401120,Pennsylvanien,5
56,15001121,15001120.0,Vchr401121,Spätes Pennsylvanien,6
57,15001122,15001120.0,Vchr401122,Mittleres Pennsylvanien,6
58,15001123,15001120.0,Vchr401123,Frühes Pennsylvanien,6
43,15001124,15001119.0,Vchr401124,Mississippien,5
59,15001125,15001124.0,Vchr401125,Spätes Mississippien,6
60,15001126,15001124.0,Vchr401126,Mittleres Mississippien,6
61,15001127,15001124.0,Vchr401127,Frühes Mississippien,6
17,15001128,15001091.0,Vchr401128,Devon,4
44,15001129,15001128.0,Vchr401129,Frühes Devon,5
45,15001130,15001128.0,Vchr401130,Mittleres Devon,5
46,15001131,15001128.0,Vchr401131,Spätes Devon,5
18,15001133,15001091.0,Vchr401133,Silur,4
19,15001134,15001091.0,Vchr401134,Ordovizium,4
20,15001135,15001091.0,Vchr401135,Kambrium,4
2,15001136,15001152.0,Vchr401136,Proterozoikum,2
126,15001137,15001121.0,Vchr401137,Gzhélien,8
127,15001138,15001121.0,Vchr401138,Kasimovien,8
128,15001139,15001122.0,Vchr401139,Moscovien,8
129,15001140,15001123.0,Vchr401140,Bashkirien,8
130,15001141,15001125.0,Vchr401141,Serpukhovien,8
131,15001142,15001126.0,Vchr401142,Viséen,8
132,15001143,15001127.0,Vchr401143,Tournaisien,8
133,15001144,15001133.0,Vchr401144,Pridoli,6
134,15001145,15001133.0,Vchr401145,Ludlow,6
135,15001146,15001133.0,Vchr401146,Wenlock,6
136,15001147,15001133.0,Vchr401147,Llandovery,6
137,15001148,15001134.0,Vchr401148,Spätes Ordovizium,6
138,15001149,15001134.0,Vchr401149,Mittleres Ordovizium,6
139,15001150,15001134.0,Vchr401150,Frühes Ordovizium,6
1088,15001151,15001007.0,Vchr401151,Chibanien,6
1086,15001152,0.0,Vchr401152,Präkambrium,1
1087,15001153,15001152.0,Vchr401153,Archaikum,2
